"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月31日","1,973.90","1,961.00","1,992.40","1,960.00","14.53K","0.96%"
"2020年7月30日","1,955.20","1,974.30","1,976.00","1,941.70","21.32K","-0.51%"
"2020年7月29日","1,965.30","1,960.10","1,986.40","1,945.10","23.27K","0.64%"
"2020年7月28日","1,952.80","1,948.10","1,985.90","1,912.20","30.15K","1.13%"
"2020年7月27日","1,931.00","1,901.20","1,941.90","1,899.00","428.23K","1.77%"
"2020年7月24日","1,897.50","1,884.90","1,904.60","1,880.50","300.17K","0.40%"
"2020年7月23日","1,890.00","1,871.60","1,897.70","1,863.10","418.75K","1.34%"
"2020年7月22日","1,865.10","1,842.80","1,871.80","1,842.10","382.23K","1.15%"
"2020年7月21日","1,843.90","1,819.60","1,844.90","1,817.20","271.09K","1.46%"
"2020年7月20日","1,817.40","1,812.30","1,823.40","1,806.60","177.74K","0.41%"
"2020年7月17日","1,810.00","1,796.90","1,813.90","1,795.20","167.01K","0.54%"
"2020年7月16日","1,800.30","1,813.10","1,816.20","1,794.10","196.57K","-0.74%"
"2020年7月15日","1,813.80","1,811.10","1,819.50","1,804.00","183.06K","0.02%"
"2020年7月14日","1,813.40","1,805.20","1,815.00","1,791.10","253.21K","-0.04%"
"2020年7月13日","1,814.10","1,803.40","1,818.80","1,802.10","230.40K","0.68%"
"2020年7月10日","1,801.90","1,808.40","1,817.00","1,796.50","223.83K","-0.11%"
"2020年7月9日","1,803.80","1,818.80","1,825.50","1,799.60","283.37K","-0.92%"
"2020年7月8日","1,820.60","1,807.90","1,829.80","1,803.80","247.50K","0.59%"
"2020年7月7日","1,809.90","1,793.90","1,810.80","1,781.20","221.73K","0.91%"
"2020年7月6日","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.33%"
"2020年7月3日","1,787.60","1,786.90","1,788.70","1,783.65","-","-0.13%"
"2020年7月2日","1,790.00","1,779.00","1,791.70","1,766.30","186.31K","0.57%"
"2020年7月1日","1,779.90","1,798.90","1,807.70","1,767.90","263.25K","-1.14%"